,section,tgt_bool,AUC,pAUC
0,0.0,0.0,0.8059000000000001,0.5942105263157895
1,0.0,1.0,0.5161,0.5110526315789474
2,1.0,0.0,0.6709,0.5410526315789473
3,1.0,1.0,0.7381999999999999,0.6052631578947368
4,2.0,0.0,0.8549,0.6431578947368422
5,2.0,1.0,0.7035999999999999,0.5426315789473685
